passenger_id,from_floor,to_floor,appear_tick,board_tick,alight_tick,miss_reason,waiting_passengers,elevator_snapshot
64,2,0,150,,,未接-超时(>200),1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 2→0 | 3→2 | 3→2 | 2→0 | 3→0 | 2→0,E0:F4→5 up 0人 | E1:F5→4 down 6人
65,5,0,153,,,未接-超时(>200),1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 2→0 | 3→2 | 3→2 | 2→0 | 3→0 | 2→0 | 2→0,E0:F5→4 down 0人 | E1:F5→4 down 6人
66,3,2,158,164,169,,1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 3→0 | 2→0 | 3→0 | 3→0 | 1→0 | 2→0 | 3→2 | 3→2 | 2→0 | 3→0 | 2→0 | 2→0 | 5→0,E0:F4→3 down 0人 | E1:F4→3 down 6人
67,5,0,165,,,未接-超时(>200),1→0 | 2→0 | 1→0 | 2→0 | 1→0 | 2→0 | 2→0 | 2→0 | 2→0 | 5→0,E0:F3→2 down 8人 | E1:F3→2 down 8人
68,3,0,166,,,未接-超时(>200),1→0 | 2→0 | 1→0 | 2→0 | 1→0 | 2→0 | 2→0 | 2→0 | 2→0 | 5→0 | 5→0,E0:F3→2 down 8人 | E1:F3→2 down 8人
69,2,0,168,,,未接-超时(>200),1→0 | 2→0 | 1→0 | 2→0 | 1→0 | 2→0 | 2→0 | 2→0 | 2→0 | 5→0 | 5→0 | 3→0,E0:F3→2 down 8人 | E1:F2→1 down 8人
70,5,0,171,,,未接-超时(>200),1→0 | 1→0 | 1→0 | 2→0 | 2→0 | 2→0 | 5→0 | 5→0 | 3→0 | 2→0,E0:F2→1 down 8人 | E1:F2→1 down 8人
71,3,0,172,,,未接-超时(>200),1→0 | 1→0 | 1→0 | 2→0 | 2→0 | 2→0 | 5→0 | 5→0 | 3→0 | 2→0 | 5→0,E0:F2→1 down 8人 | E1:F2→1 down 8人
72,4,0,179,,,未接-超时(>200),1→0 | 1→0 | 1→0 | 2→0 | 2→0 | 2→0 | 5→0 | 5→0 | 3→0 | 2→0 | 5→0 | 3→0,E0:F1→0 down 8人 | E1:F0→0 down 0人
73,5,0,183,,,未接-超时(>200),1→0 | 1→0 | 1→0 | 2→0 | 2→0 | 2→0 | 5→0 | 5→0 | 3→0 | 2→0 | 5→0 | 3→0 | 4→0,E0:F0→1 up 0人 | E1:F0→1 up 0人
74,1,0,196,,,未接-超时(>200),1→0 | 1→0 | 1→0 | 2→0 | 2→0 | 2→0 | 5→0 | 5→0 | 3→0 | 2→0 | 5→0 | 3→0 | 4→0 | 5→0,E0:F2→3 up 0人 | E1:F2→3 up 0人
